n_gpus,node,strategy,workload,replica,experiment_name,parallelism,label,concurrency,request_throughput,output_token_throughput,output_token_throughput_user,total_token_throughput,request_latency_avg,request_latency_p50,request_latency_p90,request_latency_p99,request_latency_std,ttft_avg,ttft_p50,ttft_p99,time_to_second_token_avg,inter_token_latency_avg,inter_token_latency_p50,inter_token_latency_p99,output_sequence_length_avg,input_sequence_length_avg,request_count,benchmark_duration
2,tupi,TP,short,r1,N2_tupi_TP_short_r1_796872,TP,TUPI N2 TP Short,4,0.5856807240009932,74.95249065402712,24.386363343700076,149.91962332615424,6826.373011825,6824.128164,6851.5567961,6855.37837835,14.407023556727557,1570.710268525,1572.3927684999999,2083.4999998499998,538.710498575,41.392183317721226,41.41683266535433,45.698531755704906,127.975,128.0,40.0,68.296596355
2,tupi,TP,short,r1,N2_tupi_TP_short_r1_796872,TP,TUPI N2 TP Short,8,0.7301330729829592,93.47528666864335,17.697688626795912,186.93232001046212,10954.1676530875,10925.7558125,10995.754716300002,11233.527763909999,95.88657491755609,3644.5333825999996,4045.151653,4335.170912229999,486.1539712375,57.54565993144953,54.13720774803149,81.57209429346457,128.025,128.0,80.0,109.569067558
2,tupi,TP,short,r1,N2_tupi_TP_short_r1_796872,TP,TUPI N2 TP Short,16,0.9750650309108422,124.78394733081502,10.397761705114975,249.59227128740284,16403.99901015,17095.088079999998,19876.465866,19889.10351445,3479.9268139930095,4105.34230869375,2555.5794135,7793.07850083,563.69919876875,96.85844552223637,95.24441821259842,151.41687699842518,127.975,128.0,160.0,164.09161945900001
2,tupi,TP,short,r1,N2_tupi_TP_short_r1_796872,TP,TUPI N2 TP Short,32,1.2142036908292835,155.3839229473437,5.547138984672654,310.801995373492,26343.088488703124,23288.1262265,37710.7590047,38160.696875480004,5854.428290501192,3237.3236369,1476.6571125,15070.182362309999,1212.827352153125,181.98118514419608,176.36654852755905,237.0203366292913,127.971875,128.0,320.0,263.54721404400004
4,poti,PP,long,r1,N4_poti_PP_long_r1_795375,PP,POTI N4 PP Long,1,0.05192713457643861,26.353020797542595,27.247702772077343,79.52640660381573,19252.214665566666,19386.342609,19418.0237059,19433.75250913,254.2079121627396,659.8387714666667,659.8908305,665.8753098899999,36.41490976666666,36.70953409044985,36.8396588976378,37.561996939375824,507.5,1024.0,30.0,577.732629476
4,poti,PP,long,r1,N4_poti_PP_long_r1_795375,PP,POTI N4 PP Long,2,0.0960957310238929,48.70131648290892,25.57781177283512,147.10334505137527,20807.50519433333,20867.9014765,20892.0162017,20900.515986529997,235.3670021712086,1021.6251031666666,1290.6449035,1460.74510446,322.9942704333333,39.12512857971589,39.19383520780405,41.02354053115089,506.8,1024.0,30.0,312.18868601500003
4,poti,PP,long,r1,N4_poti_PP_long_r1_795375,PP,POTI N4 PP Long,4,0.19341526219753818,97.90680572439383,26.037042885305244,295.96403421467295,20673.554731049997,20776.1274465,21076.6260054,21109.925451569998,400.11844062351605,1254.0962458499998,1385.7922899999999,1887.2288283499997,405.614361675,38.48995676761995,38.332338353025115,45.17330050015052,506.2,1024.0,40.0,206.80891231400003
4,poti,PP,long,r1,N4_poti_PP_long_r1_795375,PP,POTI N4 PP Long,8,0.31577596448513867,160.979955228153,21.877621789832133,484.334542860935,25323.18354304167,25372.4077885,25429.302345,25440.341046939997,107.26590755968137,2053.88949625,1920.0260954999999,2782.3485644499997,685.6080319583333,45.734325044169964,45.594042049502086,47.84314605891328,509.7916666666667,1024.0,24.0,76.00325135300001
4,poti,PP,long,r1,N4_poti_PP_long_r1_795375,PP,POTI N4 PP Long,16,,,,,,,,,,,,,,,,,,,,
4,poti,PP,long,r1,N4_poti_PP_long_r1_795375,PP,POTI N4 PP Long,32,,,,,,,,,,,,,,,,,,,,
4,poti,PP,short,r1,N4_poti_PP_short_r1_796677,PP,POTI N4 PP Short,1,0.21183796500628968,27.11525952080508,27.605150657351597,54.23051904161016,4718.7617414,4717.9226655,4732.3075592,4764.673637069999,14.957214052882046,118.12795743333334,117.93816699999999,120.1173302,35.8574025,36.22558272078422,36.21350593307087,36.618510444188225,128.0,128.0,30.0,141.617674618
4,poti,PP,short,r1,N4_poti_PP_short_r1_796677,PP,POTI N4 PP Short,2,0.40425013698213974,51.67664251088353,26.646205786500772,103.42066004459743,4944.4245885,4963.3594205,4976.1877208,4991.18274208,59.64343016953842,183.82084166666664,176.9973685,229.01129605999998,70.901792,37.535219996634716,37.489584267810265,38.32888245196594,127.83333333333333,128.0,30.0,74.211477636
4,poti,PP,short,r1,N4_poti_PP_short_r1_796677,PP,POTI N4 PP Short,4,0.7534488010024705,96.44144652831622,25.600978725841422,192.88289305663244,5304.524482625,5297.3949235,5379.0775218,5503.124675659999,92.81441747118447,342.07739252499994,324.56168199999996,522.6145084699999,105.42314549999999,39.07438653622047,38.91054617716536,40.903566520157476,128.0,128.0,40.0,53.089207849000005
4,poti,PP,short,r1,N4_poti_PP_short_r1_796677,PP,POTI N4 PP Short,8,1.355469116188321,173.16117959305802,23.3311469329756,346.6612264651631,5898.3329532375,5854.0005955,6211.9096297999995,6252.28813834,189.65403135476905,457.8438107875,479.521594,563.2454248499998,95.66882299999999,42.92573059188911,42.510102204724404,47.84112516637795,127.75,128.0,80.0,59.020156966
4,poti,PP,short,r1,N4_poti_PP_short_r1_796677,PP,POTI N4 PP Short,16,2.279672616937568,291.5986236140266,20.28974472187114,583.3967185820353,7016.14662125,7042.612568,7609.221755999999,7735.3221365399995,541.1607148689785,747.4008894624999,497.68391549999996,1411.8876366,126.45650372499999,49.396576494324734,48.67821662992125,58.19990551165353,127.9125,128.0,160.0,70.185516469
