experiment_name,display_name,parallelism,machine_name,node_name,timestamp,gpu_utilization,memory_used_mib,power_draw_w,temperature_gpu_c
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,tupi2,2026-05-31 04:57:00.364,0,4,26.96,27
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,tupi2,2026-05-31 04:57:00.464,0,4,26.96,27
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,tupi2,2026-05-31 04:57:00.564,0,4,26.96,27
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,tupi2,2026-05-31 04:57:00.664,0,4,26.96,27
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,tupi2,2026-05-31 04:57:00.764,0,4,26.96,27
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,tupi2,2026-05-31 04:57:00.865,0,4,26.96,27
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,tupi2,2026-05-31 04:57:00.965,0,4,26.96,27
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,tupi2,2026-05-31 04:57:01.065,0,4,26.96,27
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,tupi2,2026-05-31 04:57:01.165,0,4,26.96,27
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,tupi2,2026-05-31 04:57:01.266,0,4,26.96,27
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,tupi2,2026-05-31 04:57:01.366,0,4,26.96,27
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,tupi2,2026-05-31 04:57:01.466,0,4,26.96,27
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,tupi2,2026-05-31 04:57:01.567,0,4,26.96,27
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,tupi2,2026-05-31 04:57:01.667,0,4,26.96,27
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,tupi2,2026-05-31 04:57:01.767,0,4,26.96,27
